date,capture,total_obs_day,perturbation,experiment,focal_bird,dompattern_focal,bin
2022-05-02,na,104,6,removal,top-ranked,top-ranked,24
2022-05-03,na,105,6,removal,top-ranked,top-ranked,24
2022-05-04,focal_6,106,6,reintroduction,top-ranked,top-ranked,25
2022-05-05,na,107,6,reintroduction,top-ranked,top-ranked,25
2022-05-06,na,108,6,reintroduction,top-ranked,top-ranked,25
2022-05-07,na,109,6,na,top-ranked,na,na
2022-05-08,na,110,6,na,top-ranked,na,na
2022-05-09,na,111,7,reintroduction,top-ranked,stranger,26
2022-05-10,na,112,7,reintroduction,top-ranked,stranger,26
2022-05-11,na,113,7,reintroduction,top-ranked,stranger,26
2022-05-12,8,114,7,na,na,na,na
2022-05-13,na,115,7,introduction,stranger,stranger,27
2022-05-14,na,116,7,introduction,stranger,stranger,27
2022-05-15,na,117,7,introduction,stranger,stranger,27
2022-05-16,na,118,7,introduction,stranger,stranger,28
2022-05-17,na,119,7,introduction,stranger,stranger,28
2022-05-18,na,120,7,na,na,na,na
2022-05-19,na,121,7,introduction,stranger,stranger,29
2022-05-20,na,122,7,introduction,stranger,stranger,29
2022-05-21,na,123,7,introduction,stranger,stranger,29
2022-05-22,na,124,7,introduction,stranger,stranger,29
2022-05-23,na,125,7,na,na,na,na
2022-05-24,na,126,7,introduction,stranger,stranger,30
2022-05-25,na,127,7,introduction,stranger,stranger,30
2022-05-26,na,128,7,introduction,stranger,stranger,30
2022-05-27,na,129,7,introduction,stranger,stranger,30
