key,bin,id,dom_ec,rank,power
1,0,BBB,0.0108889803156218,1,0.989111019684378
2,0,GPG,0.0218812763844372,2,0.978118723615563
3,0,GGO,0.0308959360872252,3,0.969104063912775
4,0,GGG,0.0400434073169358,4,0.959956592683064
5,0,OOP,0.0408142210960131,5,0.959185778903987
6,0,OGO,0.0417432864932981,6,0.958256713506702
7,0,PBO,0.0424900060120416,7,0.957509993987958
8,0,POP,0.0433397268592949,8,0.956660273140705
9,0,OPP,0.0438159289365926,9,0.956184071063407
10,0,POO,0.0446617557486119,10,0.955338244251388
11,0,OBB,0.0480092635715429,11,0.951990736428457
12,0,GOO,0.0491610233515176,12,0.950838976648482
13,0,PBB,0.0500546168898871,13,0.949945383110113
14,0,PPB,0.0506739792586142,14,0.949326020741386
15,0,OOO,0.0586760210466221,15,0.941323978953378
16,0,PPO,0.0623337814012301,16,0.93766621859877
17,0,BOB,0.0675248363742698,17,0.93247516362573
18,0,GOP,0.0683868984016176,18,0.931613101598382
19,0,PPP,0.0721932515589263,19,0.927806748441074
20,0,PGG,0.1124118028957,20,0.8875881971043
21,1,BBB,0.0122226118895848,1,0.987777388110415
22,1,POP,0.0208916335095077,2,0.979108366490492
23,1,GPG,0.0258858594688392,3,0.974114140531161
24,1,GGO,0.0319333702334074,4,0.968066629766593
25,1,PBO,0.037285811000974,5,0.962714188999026
26,1,OGO,0.0380878150895612,6,0.961912184910439
27,1,GOO,0.0384768367611223,7,0.961523163238878
28,1,OPP,0.0391915785621997,8,0.9608084214378
29,1,PBB,0.0423548567389254,9,0.957645143261075
30,1,PPB,0.0431580055391378,10,0.956841994460862
31,1,GOP,0.0486825242421482,11,0.951317475757852
32,1,OOO,0.0544688516074177,12,0.945531148392582
33,1,OBB,0.0580807474153293,13,0.941919252584671
34,1,PPP,0.0588101603974365,14,0.941189839602563
35,1,POO,0.0594488750672962,15,0.940551124932704
36,1,GGG,0.0614001120878225,16,0.938599887912178
37,1,PPO,0.0726850750805007,17,0.927314924919499
38,1,OOP,0.0819169547853284,18,0.918083045214672
39,1,BOB,0.0826146284370195,19,0.917385371562981
40,1,PGG,0.0924036920864414,20,0.907596307913559
41,2,OPP,0.0206100366046944,1,0.979389963395306
42,2,GOO,0.0227898147870707,2,0.977210185212929
43,2,GPG,0.0232924635243177,3,0.976707536475682
44,2,PBO,0.0273645223294895,4,0.972635477670511
45,2,GGO,0.0291994254558762,5,0.970800574544124
46,2,GOP,0.0303059964631777,6,0.969694003536822
47,2,PPB,0.0400794193885472,7,0.959920580611453
48,2,POP,0.0402300282458081,8,0.959769971754192
49,2,OGO,0.0417764448217022,9,0.958223555178298
50,2,PBB,0.0430821341391853,10,0.956917865860815
51,2,PPP,0.0488657172992671,11,0.951134282700733
52,2,OBB,0.0496341870864553,12,0.950365812913545
53,2,POO,0.051739017328836,13,0.948260982671164
54,2,OOO,0.059091969911818,14,0.940908030088182
55,2,PPO,0.0641054357256747,15,0.935894564274325
56,2,OOP,0.0795539216687054,16,0.920446078331295
57,2,GGG,0.0898955855393297,17,0.91010441446067
58,2,PGG,0.0913014745752092,18,0.908698525424791
59,2,BOB,0.147082405104836,19,0.852917594895164
60,3,GPG,0.0192236412934468,1,0.980776358706553
61,3,OPP,0.0251160955415283,2,0.974883904458472
62,3,GGO,0.0262233169578218,3,0.973776683042178
63,3,GOO,0.0340808733568766,4,0.965919126643123
64,3,PBO,0.039404661065798,5,0.960595338934202
65,3,PBB,0.0401917261269783,6,0.959808273873022
66,3,POP,0.043714282618705,7,0.956285717381295
67,3,OGO,0.0445155435684564,8,0.955484456431544
68,3,PPB,0.0522206230255136,9,0.947779376974486
69,3,POO,0.0534709482554119,10,0.946529051744588
70,3,PPO,0.0546094093075277,11,0.945390590692472
71,3,OBB,0.0579668622387843,12,0.942033137761216
72,3,GOP,0.0581538457323382,13,0.941846154267662
73,3,OOO,0.0598597071402566,14,0.940140292859743
74,3,OOP,0.0628823766831623,15,0.937117623316838
75,3,GGG,0.0629353212250753,16,0.937064678774925
76,3,PPP,0.0652025690765695,17,0.93479743092343
77,3,PGG,0.0867451104825841,18,0.913254889517416
78,3,BOB,0.113483086303165,19,0.886516913696835
79,4,GPG,0.0157137063384467,1,0.984286293661553
80,4,OPP,0.0210276835184734,2,0.978972316481527
81,4,GGO,0.0218214231584056,3,0.978178576841594
82,4,PBO,0.0290783176533921,4,0.970921682346608
83,4,PPB,0.0297959620593609,5,0.970204037940639
84,4,POP,0.0303766159797571,6,0.969623384020243
85,4,PBB,0.0314276608137969,7,0.968572339186203
86,4,GOO,0.0342767565190509,8,0.965723243480949
87,4,OGO,0.0343438983052613,9,0.965656101694739
88,4,OOO,0.0397605451187603,10,0.96023945488124
89,4,GOP,0.0403980326896958,11,0.959601967310304
90,4,PPP,0.0443123623266228,12,0.955687637673377
91,4,OBB,0.0502351401982342,13,0.949764859801766
92,4,PGG,0.0520114283408802,14,0.94798857165912
93,4,POO,0.0531589678320734,15,0.946841032167927
94,4,PPO,0.0588322089643766,16,0.941167791035623
95,4,GGG,0.0678011525256539,17,0.932198847474346
96,4,BOB,0.0827879920542076,18,0.917212007945792
97,4,OOP,0.0920807970330352,19,0.907919202966965
98,4,BBB,0.170759348570515,20,0.829240651429485
99,5,GPG,0.0172697427058857,1,0.982730257294114
100,5,OPP,0.0228028449085293,2,0.977197155091471
101,5,GGO,0.0248313608767449,3,0.975168639123255
102,5,GOO,0.028510482340566,4,0.971489517659434
103,5,OGO,0.0287382760878093,5,0.971261723912191
