"","date","perturbation","band_id","sex","id","weight1","weight2","weight","culmen_width","bc"
"62","2021-07-08","capture7_startshort","BB1248","M","GPG",255.89,145.48,110.4,13.5,-0.0248524762265157
"63","2021-04-05","capture1_start","BB1249","","PBB",250.16,145.43,104.7,12.5,-2.76015014831723
"64","2021-05-19","capture3_removal1","BB1249","","PBB",254.7,145.66,109,12.7,0.946909386100909
"65","2021-06-05","capture4_removal2","BB1249","","PBB",258.54,146.4,112.1,12.9,3.45396892051904
"66","2021-06-23","capture5_removal3","BB1249","","PBB",254.18,146.72,107.5,13.1,-1.73897154506281
"67","2021-07-08","capture7_startshort","BB1249","M","PBB",245.17,145.23,99.9,13.1,-9.3389715450628
"68","2021-04-05","capture1_start","BB1250","","GGG",256.89,145,111.9,13.2,2.36455822214627
"69","2021-05-19","capture3_removal1","BB1250","","GGG",253.2,145.38,107.8,12.3,0.932790317264615
"70","2021-06-05","capture4_removal2","BB1250","","GGG",255.85,146,109.9,13.2,0.364558222146272
"71","2021-06-23","capture5_removal3","BB1250","","GGG",256.52,146.93,109.6,13.2,0.0645582221462605
"72","2021-07-08","capture7_startshort","BB1250","F","GGG",253.06,145.8,107.26,13.5,-3.16485247622652
"73","2021-04-05","capture1_start","BB1251","","OPP",264.09,145.92,118.2,11.7,13.1116117140102
"74","2021-05-19","capture3_removal1","BB1251","","OPP",267.51,146.23,121.3,12.2,14.7292605500555
"75","2021-06-05","capture4_removal2","BB1251","","OPP",271.08,145.82,125.3,12.6,17.5433796188918
"76","2021-06-23","capture5_removal3","BB1251","","OPP",262.48,145.72,116.8,12.7,8.74690938610091
"77","2021-07-08","capture7_startshort","BB1251","M","OPP",258.59,146.96,111.6,12.9,2.95396892051904
"78","2021-05-19","capture3_removal1","BB1252","","PPB",253.93,145.87,108.1,12.7,0.046909386100903
"79","2021-06-05","capture4_removal2","BB1252","","PPB",252.73,146.49,106.2,11.9,0.518671248428336
"80","2021-06-23","capture5_removal3","BB1252","","PPB",253.8,146.63,107.2,12.2,0.629260550055554
"81","2021-07-08","capture7_startshort","BB1252","F","PPB",244,146.03,98,12.5,-9.46015014831724
"82","2021-05-19","capture3_removal1","BB1253","","BBB",265.2,146.16,119,12.8,10.65043915331
"83","2021-06-05","capture4_removal2","BB1253","","BBB",258.59,145.83,112.8,12.6,5.04337961889183
"84","2021-06-23","capture5_removal3","BB1253","","BBB",264.12,146.35,117.8,13,8.85749868772812
"85","2021-07-08","capture7_startshort","BB1253","M","BBB",259.31,146.33,113,13.6,2.27867729098255
"86","2021-04-05","capture1_start","BB1254","","OOP",241.67,146.23,95.4,12.7,-12.6530906138991
"87","2021-05-19","capture3_removal1","BB1254","","OOP",242.87,146.29,96.6,12.5,-10.8601501483172
"88","2021-06-05","capture4_removal2","BB1254","","OOP",248,147.03,101,12.5,-6.46015014831724
"89","2021-06-23","capture5_removal3","BB1254","","OOP",243.88,142.51,101.4,13,-7.54250131227187
"90","2021-07-08","capture7_startshort","BB1254","F","OOP",237.03,145.58,91.5,12.6,-16.2566203811082
"91","2021-04-05","capture1_start","BB1255","","POO",255.53,145.86,109.7,12.4,2.53632008447369
"92","2021-05-19","capture3_removal1","BB1255","","POO",264.08,146.1,118,13.4,7.87161775656441
"93","2021-06-05","capture4_removal2","BB1255","","POO",264,146.85,117.2,13.9,5.58926659260977
"94","2021-06-23","capture5_removal3","BB1255","","POO",262.58,145.85,116.7,14,4.79279635981884
"95","2021-07-08","capture7_startshort","BB1255","M","POO",255.4,145.61,109.8,13.4,-0.328382243435597
