"","bin","id","dom_ec","rank","power"
"1",0,"PPB",0.0112372051142399,1,0.98876279488576
"2",0,"BBB",0.0117972902613808,2,0.988202709738619
"3",0,"GPG",0.0232441865539017,3,0.976755813446098
"4",0,"GGO",0.0326634455660943,4,0.967336554433906
"5",0,"GGG",0.0368890512578317,5,0.963110948742168
"6",0,"OOP",0.0431185922385746,6,0.956881407761425
"7",0,"OPP",0.0450189541693045,7,0.954981045830696
"8",0,"OGO",0.0450320294134403,8,0.95496797058656
"9",0,"POP",0.0455019639590448,9,0.954498036040955
"10",0,"PBO",0.0463232523489772,10,0.953676747651023
"11",0,"PBB",0.047730769226137,11,0.952269230773863
"12",0,"POO",0.0522121132575787,12,0.947787886742421
"13",0,"OBB",0.052461193521375,13,0.947538806478625
"14",0,"GOO",0.0524929102454269,14,0.947507089754573
"15",0,"OOO",0.0617997651727293,15,0.938200234827271
"16",0,"PPO",0.06356150459657,16,0.93643849540343
"17",0,"GOP",0.0702070585862907,17,0.929792941413709
"18",0,"BOB",0.0716090002182097,18,0.92839099978179
"19",0,"PPP",0.0748749701880734,19,0.925125029811927
"20",0,"PGG",0.11222474410482,20,0.88777525589518
"21",1,"PPB",0.0124754687490547,1,0.987524531250945
"22",1,"BBB",0.0130972714730354,2,0.986902728526965
"23",1,"POP",0.0215925349458582,3,0.978407465054142
"24",1,"GPG",0.0270544462860821,4,0.972945553713918
"25",1,"GGO",0.0331175796089298,5,0.96688242039107
"26",1,"PBO",0.0396167055363874,6,0.960383294463613
"27",1,"OGO",0.0403514172543575,7,0.959648582745642
"28",1,"GOO",0.040916021217742,8,0.959083978782258
"29",1,"OPP",0.0412254664907378,9,0.958774533509262
"30",1,"PBB",0.0418471411886023,10,0.958152858811398
"31",1,"GOP",0.0463744156368581,11,0.953625584363142
"32",1,"OOO",0.0551968666890188,12,0.944803133310981
"33",1,"GGG",0.0611808363700148,13,0.938819163629985
"34",1,"PPP",0.0612790051494989,14,0.938720994850501
"35",1,"OBB",0.0615073762541458,15,0.938492623745854
"36",1,"POO",0.0666129365266122,16,0.933387063473388
"37",1,"PPO",0.072394450747413,17,0.927605549252587
"38",1,"OOP",0.0828357030012122,18,0.917164296998788
"39",1,"BOB",0.0876532181309076,19,0.912346781869092
"40",1,"PGG",0.0936711387435315,20,0.906328861256468
"41",2,"OPP",0.0213335861734591,1,0.978666413826541
"42",2,"GOO",0.0231203047386062,2,0.976879695261394
